Microlaimus parahonestus
Hymedesmia (Hymedesmia) jecusculum
Pandalus borealis
Palliolum tigerinum
Thelepus setosus
Sepietta oweniana
Harmothoe extenuata
Ampharete falcata
Calliostoma zizyphinum
Modiolus modiolus
Chaetozone setosa
Zoothamnium pelagicum
Megamphopus cornutus
Pseudopolydora paucibranchiata
Phylo nuda
Rubramoena amoena
Cereus pedunculatus
Hypereteone foliosa
Herentia hyndmanni
Calvadosia campanulata
Colus jeffreysianus
Chone duneri
Melanella polita
Abludomelita obtusata
Conger conger
Boreochiton ruber
Eumida bahusiensis
Lacuna vincta
Astacilla longicornis
Iphinoe trispinosa
Exidmonea atlantica
Callipallene brevirostris
Neopentadactyla mixta
Lomentaria orcadensis
Trinchesia caerulea
Peachia cylindrica
Ophiactis balli
Acrosorium ciliolatum
Scoloplos armiger
Aonides oxycephala
Hilbigneris gracilis
Polycirrus medusa
Echinocyamus pusillus
Amaeana trilobata
Pomatoschistus pictus
Cibicidoides wuellerstorfi
Jaculella obtusa
Caryophyllia (Caryophyllia) inornata
Ulosa digitata
Gibbula magus
Carcinus maenas
Phyllophora pseudoceranoïdes
Leucoraja naevus
Obelia longissima
Endeis spinosa
Erinaceusyllis erinaceus
Fissurina cucurbitasema
Asperococcus ensiformis
Parazoanthus anguicomus
Cylista lacerata
Monodaeus couchii
Paraeuchaeta hebes
Buliminella elegantissima
Thyone roscovita
Suberites ficus
Abietinaria abietina
Corallina officinalis
Heteranomia squamula
Duvaucelia plebeia
Raniceps raninus
Tricolia pullus
Anomia ephippium
Ascidiella aspersa
Aplidium punctum
Haraldiophyllum bonnemaisonii
Earlandammina inconspicua
Tripos minutus
Eteone longa
Tubificoides benedii
Streblosoma bairdi
Eteone flava
Pleuronectes platessa
Bugulina avicularia
Biddulphia sinensis
Tritia varicosa
Callianassa subterranea
Mitrocomella polydiademata
Diazona violacea
Phyllophora crispa
Asterina gibbosa
Thyone fusus
Mya arenaria
Tethya aurantium
Simnia patula
Coryphella verrucosa
Chthamalus stellatus
Melanella frielei
Trichobranchus roseus
Aglaophamus agilis
Hesionura elongata
Alcyonidium diaphanum
Lobatula lobatula
Reophax fusiformis
Caprella linearis
Tubulanus superbus
Sarcodictyon catenatum
Gammarus oceanicus
Polititapes aureus
Heteroclymene robusta
Cytheropteron alatum
Hymedesmia (Hymedesmia) pansa
Antedon petasus
Limaria hians
Alcyonidium hirsutum
Pseudopotamilla reniformis
Glyphohesione klatti
Pullenia bulloides
Doto tuberculata
Diogenes pugilator
Octopus vulgaris
Steromphala cineraria
Membranoptera alata
Chaetopterus variopedatus
Quinqueloculina akneriana
Abra alba
Tubularia indivisa
Doto hystrix
Bolocera tuediae
Tritonia hombergii
Eukrohnia hamata
Fissurina marginata
Glomospira gordialis
Haplostylus lobatus
Aglaophenia pluma
Cladophora sericea
Branchiostoma lanceolatum
Hymedesmia (Stylopus) coriacea
Sige fusigera
Echinocardium flavescens
Prionospio cirrifera
Microdeutopus anomalus
Leucothoe incisa
Polycirrus norvegicus
Polititapes rhomboides
Tripos hexacanthus
Ophiopholis aculeata
Glycera alba
Owenia fusiformis
Capitella capitata
Anapagurus laevis
Mycale (Mycale) lingua
Diphasia margareta
Prionospio ehlersi
Oithona atlantica
Dysidea fragilis
Diphasia rosacea
Astrononion hamadaense
Pyrgo williamsoni
Carradoriella denudata
Tubulipora liliacea
Buccella frigida
Salmacina dysteri
Aulactinia verrucosa
Spiochaetopterus typicus
Trinchesia foliata
Inachus dorsettensis
Textularia torquata
Textularia earlandi
Parafissurina marginata
Placopsilinella aurantiaca
Tubulanus annulatus
Stelligera stuposa
Eoeponidella pulchella
Atalodoris pusilla
Pawsonia saxicola
Pollachius pollachius
Acromegalomma vesiculosum
Mysia undata
Dipolydora coeca
Exogone verugera
Oxydromus flexuosus
Coryne eximia
Plocamium cartilagineum
Lutraria lutraria
Apoglossum ruscifolium
Lomentaria clavellosa
Spiophanes bombyx
Zeugopterus norvegicus
Neptunea antiqua
Kroyera carinata
Halopteris filicina
Aeolidia papillosa
Nereiphylla lutea
Lamellaria perspicua
Harmothoe glabra
Sphaerodoridium claparedii
Ethmolaimus hirsutus
Siphonolaimus ewensis
Lysianassa ceratina
Ulva linza
Luidia sarsii
Escharina johnstoni
Hemimycale columella
Saccorhiza polyschides
Leathesia marina
Carradoriella elongata
Ophelina modesta
Subadyte pellucida
Jania rubens
Alcyonidium gelatinosum
Escharella variolosa
Leptochiton cancellatus
Baldia johnstoni
Idotea pelagica
Caryophyllia (Caryophyllia) smithii
Polycera quadrilineata
Saxicavella jeffreysi
Mediomastus fragilis
Ascophyllum nodosum
Jassa falcata
Bryopsis hypnoides
Spio martinensis
Peresiella clymenoides
Bougainvillia principis
Melinna palmata
Cribrilaria innominata
Molgula citrina
Hermania scabra
Parexogone hebes
Liocarcinus pusillus
Henricia sanguinolenta
Halyphysema tumanowiczii
Polycarpa fibrosa
Melita palmata
Coryne pusilla
Ascidia mentula
Pagurus bernhardus
Aplidium nordmanni
Scyliorhinus canicula
Cliona celata
Symphodus melops
Diplosoma spongiforme
Othomaera othonis
Glycera unicornis
Chorda filum
Thelepus cincinnatus
Ophiura albida
Tethya citrina
Limaria loscombi
Cochlodesma praetenue
Tubificoides amplivasatus
Cellepora pumicosa
Sertularia argentea
Luidia ciliaris
Dosinia exoleta
Diphasia fallax
Coryphella browni
Ampelisca typica
Polymastia mamillaris
Anemonia viridis
Pseudothyone raphanus
Paraonis fulgens
Diastyloides biplicatus
Dipolydora flava
Harmothoe fraserthomsoni
Melinna elisabethae
Hypoglossum hypoglossoides
Delesseria sanguinea
Pholis gunnellus
Plumaria plumosa
Cerebratulus fuscus
Syngnathus typhle
Paucibranchia bellii
Microlaimus monstrosus
Gitana sarsi
Microspio mecznikowiana
Balanus crenatus
Sporochnus pedunculatus
Levinsenia gracilis
Leptosynapta decaria
Amphisbetia operculata
Laonice sarsi
Bugulina turbinata
Styela coriacea
Malmgrenia andreapolis
Halecium beanii
Tetrastemma robertianae
